2023-03-21 10:41:58,450 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:41:59,438 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:41:59,889 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:00,059 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:00,230 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:00,457 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:00,826 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:01,017 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:01,187 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:01,353 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:01,512 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:01,694 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:01,875 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:02,033 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:02,212 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:02,385 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:02,582 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:02,747 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:03,242 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:03,620 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:03,777 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:03,975 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:04,133 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:04,300 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:04,493 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:04,637 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:04,818 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:04,929 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:47,336 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:48,232 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:51,060 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:52,251 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:57,218 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:42:58,023 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:43:33,764 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:43:34,670 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:43:35,154 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:43:35,570 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:43:35,786 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:43:36,269 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:43:36,909 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:43:37,329 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:43:37,521 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:43:38,036 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:43:38,558 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:43:39,113 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:43:39,312 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:43:39,816 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:43:40,169 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:44:39,514 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:44:40,499 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:44:40,929 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:44:41,148 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:44:41,334 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:44:41,514 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:44:41,861 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:44:42,063 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:44:42,246 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:44:42,428 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:44:42,830 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:44:43,014 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:44:43,418 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:44:43,830 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:44:43,998 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:44:44,341 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:44:44,550 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:44:44,935 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:44:45,507 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:44:45,709 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:44:47,921 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:45:30,849 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:45:30,966 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:45:31,356 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:45:31,565 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:45:31,734 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:45:31,933 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:45:32,045 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:46:06,226 | SongBoardService | INFO | error to do 'GetLoginCheck('cd')'
2023-03-21 10:47:05,240 | SongBoardService | INFO | error to do 'GetAllPost()'
2023-03-21 10:49:20,232 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-03-21 10:49:21,964 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-03-21 10:49:21,986 | SongBoardService | INFO | succeed to do 'GetReadPost('프론트엔드', '2023-01-03 09:22:04')'
2023-03-21 10:49:22,008 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-03-21 10:49:22,032 | SongBoardService | INFO | succeed to do 'GetAllComment('프론트엔드', '2023-01-03 09:22:04')'
2023-03-21 13:37:34,180 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-03-21 13:37:38,183 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-03-21 13:37:38,201 | SongBoardService | INFO | succeed to do 'GetReadPost('백엔드', '2023-01-03 09:19:54')'
2023-03-21 13:37:38,221 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-03-21 13:37:38,238 | SongBoardService | INFO | succeed to do 'GetAllComment('백엔드', '2023-01-03 09:19:54')'
2023-03-21 13:37:40,918 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-03-21 13:37:40,938 | SongBoardService | INFO | succeed to do 'GetReadPost('클라우드', '2023-01-03 09:16:50')'
2023-03-21 13:37:40,958 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-03-21 13:37:40,976 | SongBoardService | INFO | succeed to do 'GetAllComment('클라우드', '2023-01-03 09:16:50')'
2023-03-21 13:37:44,907 | SongBoardService | INFO | succeed to do 'GetAllPost()'
