2023-04-27 16:13:16,435 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-04-27 16:13:21,843 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-04-27 16:13:21,862 | SongBoardService | INFO | succeed to do 'GetReadPost('백엔드', '2023-01-03 09:19:15')'
2023-04-27 16:13:21,880 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-04-27 16:13:21,895 | SongBoardService | INFO | succeed to do 'GetAllComment('백엔드', '2023-01-03 09:19:15')'
2023-04-27 16:13:23,096 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-04-27 16:13:24,399 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-04-27 16:13:24,414 | SongBoardService | INFO | succeed to do 'GetReadPost('프론트엔드', '2023-01-03 09:23:05')'
2023-04-27 16:13:24,430 | SongBoardService | INFO | succeed to do 'GetAllPost()'
2023-04-27 16:13:24,444 | SongBoardService | INFO | succeed to do 'GetAllComment('프론트엔드', '2023-01-03 09:23:05')'
2023-04-27 16:13:25,745 | SongBoardService | INFO | succeed to do 'GetAllPost()'
